id,type,text1,text2,text3,notes
alcoholism_stout_c,RESOURCE,"A famous brew, exclusively produced from Jangalayan barley and hops for a heavy, yet zesty flavour. Widely consumed and available in Hegemony establishments.","Enables limited armor regeneration, increases weapon range.",,
alcoholism_absynth_c,RESOURCE,"Absinthe is traditionally made by distilling natural herbs into a fine spirit. Absynth has absolutely nothing to do with that, other than the color.",Decreases the OP cost of weapons and fighters.,,
alcoholism_tears_c,RESOURCE,"Sensitive, rare herbs are infused and carefully distilled to produce this holy spirit. This is probably the only real, traditional alcohol produced anywhere in the Persean Sector.",Increases officer XP gain and improves missiles across the bank.,,
alcoholism_fuel_c,RESOURCE,Only true radicals would be able to make booze from AM-Fuel. Necessity really is the mother of invention.,"Increases ship acceleration and speed, and increases fleet manoeuvrability under sustained burn.",,
alcoholism_blood_c,RESOURCE,"Pirate spirit in a barrel, in the truest sense of the phrase. Unsurprisingly, there is no fixed recipe when distilling whatever drugs they have lying around.","Increases missile and projectile speed, improves zero-flux boost, makes ships behave agressively.",,
alcoholism_sunshine_c,RESOURCE,Underwater grapes are fermented into a shining azure wine with an extremely refined taste. The wineries on Volturn were established by the first Domain settlers and have a long tradition.,"Enables limited hardflux dissipation through shields, lowers phase flux buildup, and lowers fuel use.",,
alcoholism_king_c,RESOURCE,"Mixed and matched, this liquour contains contributions from every single planet in the League. Excessively sweet to cover up the bitter plants submitted by poorer members.","Increases combat readiness maximum and regeneration, decreases ship and crew losses.",,
alcoholism_freedom_c,RESOURCE,"Neo-Cane, mashed, distilled, then aged in synthwood for a very drinkable, and surprisingly complex Rum. Non-Independent companies attempting imitations tend to suddenly go bankrupt.","Lowers trade tariffs, lowers sensor profile, improves fighters.",,
alcoholism_water_c,RESOURCE,"Tastes like water with an extremely suspicious aftertaste. Usually locally produced and sold under many different names, they all share a common recipe.","Decreases alcohol effect and resistance buildup, increases withdrawal decay.",,
alcoholism_tea_c,RESOURCE,"Phase-aged black tea with a mild aroma, predominantly consumed on planets with tight cultural bonds to the old Domain. The hallucinations usually stop after the second infusion.","Improves arc, unfold and turn rate for shields, reduces flux generation and CR decay while phased",,
,,,,,
